Date,Price,Open,High,Low,Change %,Vol.
2018-01-02,161.28,161.78,161.78,161.18,-0.25%,485600
2018-01-03,161.58,161.26,161.82,161.20,0.19%,604240
2018-01-04,161.59,161.44,161.75,161.26,0.01%,640610
2018-01-05,161.59,161.70,161.87,161.50,0.00%,467090
2018-01-08,161.80,161.64,162.04,161.39,0.13%,454690
2018-01-09,161.30,161.67,162.00,161.20,-0.31%,719570
2018-01-10,161.07,161.00,161.37,160.91,-0.14%,870620
2018-01-11,160.31,161.38,161.55,160.27,-0.47%,1060000
2018-01-12,160.38,160.42,160.65,160.11,0.04%,781170
2018-01-15,160.34,160.59,160.76,160.30,-0.02%,328100
2018-01-16,160.77,160.46,160.97,160.41,0.27%,632570
2018-01-17,160.82,160.78,160.97,160.65,0.03%,514180
2018-01-18,160.58,160.62,160.70,160.30,-0.15%,613310
2018-01-19,160.66,160.42,160.85,160.31,0.05%,530110
2018-01-22,160.74,160.55,160.82,160.38,0.05%,432970
2018-01-23,160.80,160.70,161.13,160.68,0.04%,605820
2018-01-24,160.40,160.85,160.85,160.32,-0.25%,675760
2018-01-25,160.05,160.57,160.75,159.66,-0.22%,1010000
2018-01-26,159.79,160.15,160.36,159.74,-0.16%,751020
2018-01-29,158.71,159.59,159.64,158.66,-0.68%,1020000
2018-01-30,158.91,158.74,159.18,158.73,0.13%,840360
2018-01-31,158.82,158.96,159.33,158.50,-0.06%,917380
2018-02-01,158.60,158.55,158.81,158.15,-0.14%,1080000
2018-02-02,157.87,158.17,158.36,157.71,-0.46%,1030000
2018-02-05,158.09,157.67,159.30,157.62,0.14%,871670
2018-02-06,158.86,158.96,159.24,158.48,0.49%,1270000
2018-02-07,158.23,158.68,158.92,157.92,-0.40%,928910
2018-02-08,157.74,157.92,158.23,157.26,-0.31%,1160000
2018-02-09,158.04,158.05,158.65,157.70,0.19%,920810
2018-02-12,157.97,157.75,158.17,157.54,-0.04%,636370
2018-02-13,158.11,158.03,158.44,157.95,0.09%,664400
2018-02-14,157.98,158.25,158.38,157.65,-0.08%,782150
2018-02-15,157.88,157.65,158.01,157.42,-0.06%,720050
2018-02-16,158.61,157.76,158.78,157.65,0.46%,575900
2018-02-19,158.27,158.49,158.53,158.17,-0.21%,338580
2018-02-20,158.39,158.17,158.55,157.90,0.08%,614790
2018-02-21,158.51,158.41,158.85,158.17,0.08%,675670
2018-02-22,158.76,158.24,158.85,158.18,0.16%,630340
2018-02-23,159.48,158.68,159.66,158.68,0.45%,777960
2018-02-26,159.56,159.65,159.67,159.25,0.05%,678750
2018-02-27,159.20,159.45,159.51,159.05,-0.23%,813660
2018-02-28,159.44,159.24,159.52,159.03,0.15%,701490
2018-03-01,159.70,159.45,160.09,159.44,0.16%,959070
2018-03-02,159.77,159.90,160.21,159.58,0.04%,912660
2018-03-05,159.88,160.00,160.38,159.41,0.07%,1500000.00
2018-03-06,159.25,159.54,159.74,158.89,-0.39%,1620000
2018-03-07,159.43,159.43,159.63,159.26,0.11%,357290
2018-03-08,159.36,159.40,159.56,159.32,-0.04%,12680
2018-03-09,156.98,157.15,157.25,156.88,-1.49%,527880
2018-03-12,157.27,157.00,157.36,156.91,0.18%,440190
2018-03-13,157.47,157.25,157.61,157.17,0.13%,682430
2018-03-14,157.94,157.62,157.97,157.34,0.30%,674070
